application_id,country_code,secondary_income,application_date,last_login,applicant_age,annual_income,credit_score,loan_amount,num_dependents,debt_to_income,account_score,monthly_payment,employment_type,loan_purpose,region,marital_status,branch_code,application_notes,is_homeowner,has_cosigner,loan_default
APP-200028,TWN,null,2022-08-20,06/01/2023,30.0,57721.0,727,126481.35,0,0.618,6.29,"$3,513.45",Retired,Medical,North,Single,BR-037,Customer applies for credit toward medical expenses; existing customer over 5 years. Ref-900028.,Yes,false,Yes
APP-200029,TWN,?,2022-05-25,2024/05/26,32.0,112356.0,687,302610.27,2,1.02,5.14,"$7,772.24",NA,Business,North,Married,BR-007,Applicant seeks a loan to cover a family vacation abroad; existing customer over 5 years. Ref-900029.,Yes,false,Yes
APP-200030,TWN,,2024-06-16,03-12-2021,41.0,135006.0,691,98300.13,2,0.278,4.97,"$2,923.16",Salaried,Travel,North,Single,BR-017,Customer seeks a loan to cover medical expenses; existing customer over 5 years. Ref-900030.,No,true,No
APP-200031,TWN,?,-,01-05-2021,51.0,73888.0,581,41741.95,2,0.134,2.48,"$1,138.33",Contract,Home,East,Single,BR-031,Client seeks a loan to cover expanding a small business; good repayment record. Ref-900031.,No,false,No
APP-200032,TWN,NA,NA,12/03/2022,30.0,41094.0,606,66932.66,1,0.535,0.12,"$1,755.81",Salaried,Home,North,Divorced,BR-026,Borrower requests funding for home renovation and repairs; first-time applicant. Ref-900032.,No,false,No
APP-200033,TWN,Pension,2023-07-14,07-05-2022,27.0,41571.0,701,112533.73,0,0.618,1.92,"$2,919.12",Salaried,Home,South,Married,BR-025,Customer seeks a loan to cover tuition and education costs; stable employment history. Ref-900033.,No,false,No
APP-200034,TWN,Rental,2022-06-09,2023/06/26,54.0,54516.0,568,79796.08,0,0.441,6.92,"$2,068.07",Contract,Home,North,Married,BR-005,Borrower seeks a loan to cover tuition and education costs; moderate credit risk profile. Ref-900034.,Yes,false,Yes
APP-200035,TWN,null,2024-06-15,06/04/2024,29.0,119898.0,698,93174.06,0,0.277,2.01,"$2,731.05",Salaried,Business,North,Single,BR-013,Customer applies for credit toward medical expenses; first-time applicant. Ref-900035.,No,false,No
APP-200036,TWN,null,2022-02-10,13-09-2024,53.0,70777.0,633,57730.63,0,0.205,3.7,"$1,560.83",Salaried,Home,North,Married,BR-037,Customer applies for credit toward expanding a small business; first-time applicant. Ref-900036.,Yes,false,Yes
APP-200037,TWN,-,2022-05-13,2023-09-30 00:00:00,43.0,58240.0,623,62439.82,0,0.341,0.04,"$1,766.49",Self-employed,Business,North,Divorced,BR-045,Customer requests funding for tuition and education costs; stable employment history. Ref-900037.,Yes,true,No
APP-200038,TWN,-,2024-07-21,25-09-2024,51.0,40843.0,724,108611.62,2,0.635,8.3,"$2,924.65",Unemployed,Home,North,Divorced,BR-013,Borrower requests funding for medical expenses; first-time applicant. Ref-900038.,Yes,true,Yes
APP-200039,TWN,Rental,null,2023-10-24 00:00:00,61.0,93078.0,632,124770.68,3,0.343,1.54,"$3,761.20",Self-employed,Home,North,Divorced,BR-025,Customer seeks a loan to cover home renovation and repairs; first-time applicant. Ref-900039.,No,true,No
APP-200040,TWN,NA,2024-07-13,09/29/2024,48.0,69195.0,619,183232.9,2,0.869,2.68,"$5,104.88",Unemployed,Home,North,Married,BR-030,Customer requests funding for a family vacation abroad; moderate credit risk profile. Ref-900040.,No,false,Yes
APP-200041,TWN,?,2021-01-05,2024/12/18,49.0,58373.0,632,166688.91,1,0.764,8.8,"$4,597.29",Salaried,Education,North,Single,BR-032,Client requests funding for a family vacation abroad; existing customer over 5 years. Ref-900041.,No,false,No
APP-200042,TWN,NA,2021-01-14,2021/09/25,29.0,63052.0,683,153629.14,3,0.593,5.1,"$4,646.32",Salaried,Travel,North,Single,BR-002,Applicant applies for credit toward a family vacation abroad; moderate credit risk profile. Ref-900042.,No,true,No
APP-200043,TWN,null,2021-07-20,04-02-2021,,139143.0,850,390794.49,1,0.742,8.47,"$11,538.17",Salaried,Education,North,Single,BR-031,Customer requests funding for expanding a small business; stable employment history. Ref-900043.,No,false,No
APP-200044,TWN,Dividend,2023-06-18,2021/01/07,48.0,55260.0,532,62885.34,2,0.401,6.4,"$1,914.72",Contract,Medical,North,Married,BR-016,Borrower seeks a loan to cover tuition and education costs; moderate credit risk profile. Ref-900044.,No,false,No
APP-200045,TWN,n/a,2024-05-27,08/29/2023,58.0,139278.0,677,137390.65,1,0.28,7.42,"$4,020.10",Unemployed,Car,North,Married,BR-003,Applicant requests funding for tuition and education costs; first-time applicant. Ref-900045.,No,false,Yes
APP-200046,TWN,null,2024-05-19,06/13/2022,57.0,null,662,123069.75,0,0.354,0.91,"$3,233.32",Salaried,Travel,North,Married,BR-007,Customer seeks a loan to cover expanding a small business; good repayment record. Ref-900046.,No,false,Yes
APP-200047,TWN,?,2023-07-01,2023/12/24,68.0,61462.0,745,33480.33,0,0.137,5.41,$922.90,Contract,Business,North,Married,BR-023,Applicant requests funding for home renovation and repairs; good repayment record. Ref-900047.,No,true,No
APP-200048,TWN,Pension,2023-07-25,16-06-2024,44.0,93147.0,653,263325.82,0,0.918,5.08,"$7,739.24",Contract,Travel,North,Single,BR-018,Client applies for credit toward medical expenses; existing customer over 5 years. Ref-900048.,Yes,false,Yes
APP-200049,TWN,?,2024-12-17,12/29/2023,42.0,56281.0,507,57134.77,1,0.212,8.71,"$1,501.64",Salaried,Business,North,Married,BR-004,Borrower needs financing for home renovation and repairs; stable employment history. Ref-900049.,Yes,false,No
APP-200050,TWN,Rental,2024-10-17,2022-08-13 00:00:00,52.0,39569.0,771,82106.43,1,0.439,3.61,"$2,256.52",Contract,Education,North,Married,BR-029,Applicant needs financing for expanding a small business; first-time applicant. Ref-900050.,No,false,No
APP-200051,TWN,Dividend,2021-04-12,09-11-2023,40.0,52368.0,603,63430.3,0,0.295,5.98,"$1,631.00",Salaried,Business,North,Single,BR-026,Applicant seeks a loan to cover a family vacation abroad; stable employment history. Ref-900051.,Yes,false,No
APP-200052,TWN,Freelance,2023-03-30,2023/10/09,39.0,38040.0,674,70370.32,2,0.662,0.59,"$1,932.45",Salaried,Business,North,Married,BR-024,Applicant requests funding for medical expenses; first-time applicant. Ref-900052.,No,false,Yes
APP-200053,TWN,Rental,2022-06-19,16-04-2021,27.0,77321.0,584,122899.36,3,0.374,3.88,"$3,451.98",Self-employed,Education,North,Single,BR-010,Applicant applies for credit toward a new vehicle purchase; moderate credit risk profile. Ref-900053.,No,false,No
APP-200054,TWN,n/a,2021-07-16,08-03-2021,52.0,60317.0,602,138869.72,1,0.654,3.23,"$3,606.84",Salaried,Home,North,Married,BR-003,Customer requests funding for home renovation and repairs; good repayment record. Ref-900054.,No,false,No
APP-200055,TWN,Rental,2024-03-07,2021-05-03 00:00:00,27.0,79532.0,644,79714.96,2,0.4,1.5,"$2,257.67",Salaried,Car,East,Divorced,BR-025,Customer needs financing for a family vacation abroad; moderate credit risk profile. Ref-900055.,Yes,false,No
APP-200056,TWN,-,2023-03-03,2023-02-20 00:00:00,46.0,90521.0,738,110594.51,1,0.301,8.16,"$2,855.74",Retired,Travel,North,Single,BR-023,Customer seeks a loan to cover a new vehicle purchase; first-time applicant. Ref-900056.,No,true,No
APP-200057,TWN,NA,2023-08-24,03-02-2024,23.0,12580.0,737,10645.49,1,0.194,3.79,$295.40,Salaried,Education,North,Married,BR-044,Borrower needs financing for a family vacation abroad; stable employment history. Ref-900057.,No,false,No
APP-200058,TWN,n/a,2023-01-24,2024/04/25,53.0,69965.0,637,91800.12,0,0.335,9.79,"$2,648.29",Self-employed,Car,North,Married,BR-001,Customer applies for credit toward tuition and education costs; stable employment history. Ref-900058.,No,true,No
APP-200059,TWN,,2021-04-08,13-06-2023,28.0,24323.0,713,62857.36,0,0.792,5.9,"$1,826.37",Salaried,Business,North,Divorced,BR-036,Client requests funding for home renovation and repairs; good repayment record. Ref-900059.,Yes,false,No
APP-200060,TWN,?,2024-06-19,2024-10-18 00:00:00,50.0,65076.0,653,189299.22,1,1.104,6.05,"$5,187.79",Salaried,Car,North,Divorced,BR-020,Customer needs financing for tuition and education costs; stable employment history. Ref-900060.,No,false,No
APP-200061,TWN,-,2022-08-10,19-01-2022,21.0,38611.0,686,20767.06,1,0.111,6.38,$539.04,null,Car,North,Married,BR-015,Customer requests funding for medical expenses; first-time applicant. Ref-900061.,No,true,No
APP-200062,TWN,null,2021-11-17,12/20/2021,35.0,?,689,164815.92,0,0.8,6.76,"$5,014.67",,Car,North,Single,BR-036,Client applies for credit toward tuition and education costs; good repayment record. Ref-900062.,No,false,No
APP-200063,TWN,?,2023-07-20,2021-01-14 00:00:00,54.0,118507.0,721,276715.58,1,0.475,1.51,"$7,753.53",Unemployed,Education,North,Married,BR-022,Client applies for credit toward tuition and education costs; good repayment record. Ref-900063.,No,false,No
APP-200064,TWN,Freelance,2022-03-20,07/17/2021,30.0,25492.0,636,17792.6,3,0.278,4.4,$492.96,Contract,Education,North,Single,BR-026,Client requests funding for a new vehicle purchase; moderate credit risk profile. Ref-900064.,No,true,No
APP-200065,TWN,null,2023-10-02,18-02-2023,41.0,65863.0,669,59349.49,0,0.263,2.4,"$1,496.38",Salaried,Car,North,Single,BR-018,Customer seeks a loan to cover expanding a small business; stable employment history. Ref-900065.,Yes,true,No
APP-200066,TWN,,2023-01-16,06-02-2024,34.0,-,693,153343.46,0,0.893,4.02,"$4,479.72",Salaried,Education,North,Married,BR-017,Applicant seeks a loan to cover a family vacation abroad; moderate credit risk profile. Ref-900066.,Yes,false,Yes
APP-200067,TWN,Freelance,2022-10-22,2021/05/13,18.0,23246.0,684,22908.18,2,0.248,0.97,$672.85,Salaried,Car,North,Married,BR-017,Customer applies for credit toward tuition and education costs; good repayment record. Ref-900067.,No,false,No
APP-200068,TWN,NA,null,04/30/2024,44.0,82784.0,623,229326.59,3,0.817,9.68,"$6,649.91",Salaried,Education,North,Married,BR-030,Applicant applies for credit toward home renovation and repairs; good repayment record. Ref-900068.,No,false,No
APP-200069,TWN,?,2021-10-02,29-12-2023,45.0,?,798,112673.09,0,0.675,2.15,"$3,102.96",Salaried,Education,North,Single,BR-007,Customer requests funding for expanding a small business; existing customer over 5 years. Ref-900069.,Yes,false,No
APP-200070,TWN,Pension,2024-06-16,07/05/2021,27.0,-,646,137469.61,1,0.662,6.72,"$3,790.90",Self-employed,Home,North,Married,BR-026,Borrower seeks a loan to cover a family vacation abroad; good repayment record. Ref-900070.,Yes,false,Yes
APP-200071,TWN,null,2024-11-11,2022/05/13,47.0,41736.0,731,73528.11,1,0.428,3.0,"$2,174.30",Salaried,Education,North,Single,BR-002,Client seeks a loan to cover medical expenses; existing customer over 5 years. Ref-900071.,No,false,No
APP-200072,TWN,?,,2023-07-20 00:00:00,30.0,298426.0,692,247032.83,2,0.216,8.74,"$7,455.68",Self-employed,Travel,North,Single,BR-018,Applicant applies for credit toward a family vacation abroad; good repayment record. Ref-900072.,No,false,Yes
APP-200073,TWN,NA,2022-11-13,24-03-2024,28.0,49171.0,763,99087.3,0,0.734,6.62,"$2,803.96",Salaried,Education,North,Single,BR-011,Applicant seeks a loan to cover medical expenses; existing customer over 5 years. Ref-900073.,Yes,true,Yes
APP-200074,TWN,NA,2021-09-20,04/10/2024,40.0,n/a,526,39268.36,4,0.613,1.32,"$1,121.25",Retired,Home,North,Married,BR-018,Applicant needs financing for a family vacation abroad; good repayment record. Ref-900074.,No,false,Yes
APP-200075,TWN,Rental,2023-11-14,20-05-2021,32.0,NA,821,25453.96,0,0.237,8.45,$754.95,Salaried,Education,North,Separated,BR-009,Client requests funding for medical expenses; first-time applicant. Ref-900075.,Yes,false,No
APP-200076,TWN,NA,2023-08-05,2021/04/07,68.0,49846.0,663,126922.66,1,0.634,9.45,"$3,411.98",Salaried,Home,West,Married,BR-031,Client needs financing for expanding a small business; existing customer over 5 years. Ref-900076.,No,false,No
APP-200077,TWN,Pension,2023-02-20,12/23/2022,21.0,49405.0,592,135759.66,0,0.723,9.04,"$3,526.69",Contract,Car,North,Divorced,BR-018,Borrower applies for credit toward expanding a small business; stable employment history. Ref-900077.,Yes,false,No
APP-200078,TWN,Pension,2022-01-27,2021-11-30 00:00:00,49.0,57559.0,687,167495.23,2,1.01,5.7,"$4,887.03",Salaried,Home,North,Married,BR-029,Client seeks a loan to cover tuition and education costs; first-time applicant. Ref-900078.,No,false,Yes
APP-200079,TWN,NA,2021-04-28,2021/05/26,52.0,35472.0,835,74866.59,4,0.61,1.45,"$2,127.86",Contract,Business,South,Single,BR-005,Borrower seeks a loan to cover tuition and education costs; first-time applicant. Ref-900079.,No,false,No
APP-200080,TWN,Dividend,2024-11-16,2022/10/22,18.0,78493.0,713,153690.14,1,0.528,1.92,"$4,133.20",Salaried,Medical,South,Divorced,BR-030,Borrower applies for credit toward medical expenses; moderate credit risk profile. Ref-900080.,No,false,No
APP-200081,TWN,null,2021-12-12,14-02-2024,19.0,47010.0,592,46416.12,1,0.394,9.28,"$1,377.39",Salaried,Education,North,Single,BR-021,Client needs financing for medical expenses; first-time applicant. Ref-900081.,No,false,Yes
APP-200082,TWN,null,2023-08-12,2023-02-22 00:00:00,47.0,30322.0,646,88247.74,1,0.731,5.52,"$2,575.99",Unemployed,Home,North,Single,BR-006,Customer seeks a loan to cover home renovation and repairs; first-time applicant. Ref-900082.,No,true,Yes
APP-200083,TWN,null,2021-04-03,03/29/2023,34.0,39823.0,771,93071.33,2,0.832,1.81,"$2,343.83",Unemployed,Home,North,Separated,BR-018,Applicant applies for credit toward a family vacation abroad; first-time applicant. Ref-900083.,No,false,Yes
APP-200084,TWN,?,2023-09-25,2023/06/12,45.0,49398.0,580,107256.54,3,0.511,8.84,"$2,982.96",Salaried,Medical,North,Married,BR-043,Customer requests funding for a family vacation abroad; stable employment history. Ref-900084.,Yes,false,No
APP-200085,TWN,NA,2021-10-06,09-12-2021,?,91520.0,665,204655.49,0,0.855,6.42,"$5,916.41",Salaried,Home,North,Married,BR-036,Customer applies for credit toward home renovation and repairs; first-time applicant. Ref-900085.,Yes,false,Yes
APP-200086,TWN,?,2023-10-18,08/16/2023,36.0,76287.0,657,198655.83,0,0.669,5.7,"$5,966.90",Self-employed,Business,North,Married,BR-040,Borrower seeks a loan to cover a new vehicle purchase; moderate credit risk profile. Ref-900086.,No,false,Yes
APP-200087,TWN,?,2021-10-20,11/06/2024,27.0,?,829,68656.18,1,0.522,3.76,"$1,986.88",Salaried,Business,North,Single,BR-021,Borrower seeks a loan to cover home renovation and repairs; moderate credit risk profile. Ref-900087.,Yes,true,No
APP-200088,TWN,Rental,2022-12-25,2021/05/13,18.0,null,658,47128.83,3,0.267,4.11,"$1,240.13",Salaried,Home,North,Married,BR-008,Client applies for credit toward a new vehicle purchase; moderate credit risk profile. Ref-900088.,Yes,false,No
APP-200089,TWN,Freelance,2022-08-29,2023-09-23 00:00:00,42.0,66674.0,769,198561.63,2,1.116,2.39,"$5,130.45",Salaried,Travel,North,Single,BR-007,Customer requests funding for tuition and education costs; stable employment history. Ref-900089.,No,true,Yes
APP-200090,TWN,Dividend,2023-01-19,08/30/2022,29.0,NA,631,96035.98,2,0.189,0.38,"$2,915.14",Salaried,Travel,North,Married,BR-035,Borrower requests funding for a family vacation abroad; existing customer over 5 years. Ref-900090.,Yes,false,No
APP-200091,TWN,NA,2022-04-15,2022/05/07,44.0,43967.0,622,51836.28,1,0.26,8.76,"$1,543.42",null,Home,North,Married,BR-027,Client needs financing for tuition and education costs; moderate credit risk profile. Ref-900091.,Yes,false,No
APP-200092,TWN,Freelance,2022-05-09,06-08-2021,43.0,75624.0,748,130811.39,3,0.483,4.68,"$3,578.29",Unemployed,Car,North,Married,BR-017,Customer requests funding for expanding a small business; existing customer over 5 years. Ref-900092.,No,true,Yes
APP-200093,TWN,Dividend,2022-06-14,02-06-2024,23.0,86093.0,721,51692.99,0,0.238,5.48,"$1,410.55",Contract,Home,North,Single,BR-001,Customer needs financing for a new vehicle purchase; existing customer over 5 years. Ref-900093.,No,false,No
APP-200094,TWN,NA,2023-07-20,10/02/2022,61.0,37178.0,558,47423.85,2,0.287,3.22,"$1,387.44",n/a,Education,North,Married,BR-037,Client seeks a loan to cover expanding a small business; first-time applicant. Ref-900094.,Yes,false,Yes
APP-200095,TWN,Rental,2024-04-07,07/09/2022,NA,65816.0,722,176114.02,0,0.82,7.51,"$5,033.05",Self-employed,Business,North,Married,BR-030,Customer needs financing for a new vehicle purchase; stable employment history. Ref-900095.,No,false,No
APP-200096,TWN,,2022-06-19,2024-11-19 00:00:00,NA,64972.0,723,134070.68,0,0.628,0.25,"$3,547.91",Retired,Home,South,Married,BR-023,Customer requests funding for tuition and education costs; moderate credit risk profile. Ref-900096.,No,true,Yes
APP-200097,TWN,n/a,2021-02-01,2024-10-07 00:00:00,,47339.0,635,92758.58,0,0.563,3.72,"$2,569.29",Salaried,Home,North,Single,BR-012,Customer seeks a loan to cover medical expenses; existing customer over 5 years. Ref-900097.,No,false,Yes
APP-200098,TWN,Dividend,2021-10-12,2021/05/22,35.0,79522.0,693,43389.98,1,0.14,0.3,"$1,320.54",Salaried,Car,North,Married,BR-029,Applicant seeks a loan to cover a new vehicle purchase; stable employment history. Ref-900098.,Yes,false,No
APP-200099,TWN,,2021-05-31,2022-03-10 00:00:00,33.0,100132.0,697,157010.98,0,0.41,1.23,"$4,317.38",Salaried,Home,North,Single,BR-037,Borrower seeks a loan to cover tuition and education costs; good repayment record. Ref-900099.,Yes,false,No
APP-200100,TWN,Pension,2023-07-07,07-03-2022,35.0,105357.0,644,84801.43,1,0.194,9.67,"$2,129.79",Salaried,Medical,North,Married,BR-028,Customer applies for credit toward expanding a small business; moderate credit risk profile. Ref-900100.,No,false,Yes
APP-200101,TWN,n/a,2024-03-25,12/08/2024,27.0,54399.0,637,79855.45,2,0.371,6.58,"$2,043.08",Salaried,Home,North,Divorced,BR-041,Applicant requests funding for expanding a small business; moderate credit risk profile. Ref-900101.,Yes,true,No
APP-200102,TWN,Rental,2021-11-06,2021/02/08,45.0,65837.0,631,96887.96,2,0.305,4.28,"$2,504.24",Salaried,Education,North,Married,BR-029,Client needs financing for a family vacation abroad; moderate credit risk profile. Ref-900102.,No,true,No
APP-200103,TWN,?,2023-02-19,2021-04-02 00:00:00,43.0,193945.0,659,302853.18,1,0.546,5.24,"$8,669.79",Salaried,Home,North,Single,BR-010,Client applies for credit toward home renovation and repairs; moderate credit risk profile. Ref-900103.,No,false,Yes
APP-200104,TWN,Pension,2022-11-29,2024-05-13 00:00:00,44.0,34482.0,585,44480.43,3,0.488,8.73,"$1,202.86",Salaried,Home,North,Married,BR-029,Customer applies for credit toward home renovation and repairs; existing customer over 5 years. Ref-900104.,Yes,false,Yes
APP-200105,TWN,NA,2022-10-03,2023-12-09 00:00:00,34.0,66899.0,675,164101.32,2,0.599,3.44,"$4,703.85",Salaried,Medical,North,Married,BR-016,Applicant seeks a loan to cover a new vehicle purchase; moderate credit risk profile. Ref-900105.,Yes,false,Yes
APP-200106,TWN,n/a,2024-07-16,09/06/2022,55.0,93432.0,574,154924.82,0,0.351,5.9,"$4,119.34",Salaried,Business,North,Married,BR-030,Applicant needs financing for a family vacation abroad; existing customer over 5 years. Ref-900106.,No,false,Yes
APP-200107,TWN,null,2022-01-26,03/02/2022,42.0,64541.0,683,178778.7,1,0.767,6.84,"$5,256.06",Salaried,Education,North,Single,BR-038,Borrower applies for credit toward a new vehicle purchase; first-time applicant. Ref-900107.,No,true,No
APP-200108,TWN,Freelance,2023-06-30,04-01-2021,18.0,83115.0,672,113051.52,1,0.301,3.55,"$3,138.50",Salaried,Education,North,Married,BR-022,Applicant requests funding for home renovation and repairs; existing customer over 5 years. Ref-900108.,No,true,No
APP-200109,TWN,,2023-03-03,11-09-2022,32.0,65274.0,606,56068.57,1,0.245,5.19,"$1,693.19",Unemployed,Home,North,Single,BR-038,Applicant requests funding for medical expenses; first-time applicant. Ref-900109.,No,false,No
APP-200110,TWN,null,2024-07-02,18-03-2023,39.0,87276.0,737,121125.67,1,0.348,7.65,"$3,543.01",Salaried,Education,North,Married,BR-024,Customer applies for credit toward a new vehicle purchase; good repayment record. Ref-900110.,No,false,No
APP-200111,TWN,Rental,2021-11-20,2023/07/18,n/a,113696.0,812,304590.06,0,0.845,9.09,"$8,424.65",Salaried,Education,North,Married,BR-031,Customer applies for credit toward tuition and education costs; good repayment record. Ref-900111.,Yes,true,No
APP-200112,TWN,n/a,2024-09-25,11-05-2022,NA,53600.0,770,74898.37,2,0.487,1.51,"$2,277.19",Salaried,Home,North,Married,BR-007,Borrower seeks a loan to cover medical expenses; good repayment record. Ref-900112.,Yes,false,No
